year,AMO
1981,-0.154666667
1982,-0.1025
1983,-0.256166667
1984,-0.1205
1985,-0.362666667
1986,-0.306666667
1987,-0.278166667
1988,-0.034333333
1989,-0.198166667
1990,-0.190666667
1991,-0.0735
1992,-0.200666667
1993,-0.280666667
1994,-0.3065
1995,-0.059833333
1996,0.010666667
1997,-0.117333333
1998,0.161
1999,0.173833333
2000,-0.0245
2001,-0.079
2002,0.166
2003,0.028166667
2004,0.2225
2005,0.175333333
2006,0.122166667
2007,0.198166667
2008,0.106833333
2009,-0.063833333
2010,0.116333333
2011,0.158166667
2012,-0.035666667
2013,0.151666667
2014,0.032833333
2015,0.023833333
2016,0.196833333
2017,0.265166667
2018,0.23
2019,0.0025
2020,0.186166667
