year,PDO
1981,0.94
1982,0.098333333
1983,0.468333333
1984,1.3
1985,0.41
1986,0.668333333
1987,1.445
1988,0.623333333
1989,-0.748333333
1990,-0.718333333
1991,-1.543333333
1992,0.188333333
1993,0.483333333
1994,0.76
1995,-0.931666667
1996,0.666666667
1997,0.311666667
1998,1.351666667
1999,-1.218333333
2000,-1.796666667
2001,-0.431666667
2002,-1.246666667
2003,1.023333333
2004,-0.166666667
2005,-0.34
2006,-0.635
2007,-0.698333333
2008,-1.48
2009,-1.741666667
2010,-0.24
2011,-1.625
2012,-2.021666667
2013,-1.198333333
2014,-0.745
2015,1.5
2016,0.815
2017,0.196666667
2018,-0.281666667
2019,-0.486666667
2020,-1.005
