year,avg_AMJJ,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1979,101.4,120,201.5,586.5,331.2,38.2,18.7,17.5,25.3,20.9,26.6,35.5,35.5
1980,76.5,377.6,1391,288.1,224.3,39.8,17.9,24,19.9,14.7,20.1,29,31.3
1981,39.125,35.9,33.3,49.2,77.9,28.8,23.1,26.7,37.7,30.2,39.9,35.2,35.1
1982,36.775,76,276.3,735.8,85.1,24.7,19.1,18.2,29.8,23,28.5,228.3,375.3
1983,106.375,66.4,378.4,544,323.7,64.9,16.2,20.7,31.3,96.2,86,33,242.9
1984,21.35,41.4,37.1,29.2,26,20.2,15.8,23.4,35,28.5,25.9,30.4,205.5
1985,67.575,73.7,169.5,361.6,189.3,37.4,21.7,21.9,23.8,27.5,30.7,187.2,104.3
1986,51.725,37.2,103.7,220.8,112.7,23.6,30.3,40.3,39.8,61.1,94.9,37,46.4
1987,33.675,50.6,123.9,260.2,76.3,24.2,17.4,16.8,31.1,23.8,36.1,203.2,42.4
1988,74.725,60.6,195.4,86.9,229.8,28.4,19.9,20.8,30.2,20.8,25.9,30,34.1
1989,21.575,38.5,57,80.3,26.4,19.2,17.2,23.5,18.1,17.6,20.1,26.6,30
1990,24.375,32.6,34.2,85.3,39.8,21.3,17.3,19.1,20.8,29.2,25.1,33.6,33.8
1991,86.6,73.2,35.5,361,284.1,24.2,18.9,19.2,21.7,22.8,23.9,39.4,53.7
1992,43.575,82.9,333.3,419.8,77.3,44.1,23.5,29.4,71.4,28.5,25.4,22.7,308.9
1993,28.325,1304,1098,204.6,48.8,25.7,20.4,18.4,23,26,33.3,39,35.8
1994,29.25,35.3,50.7,111.3,54.4,33,14.5,15.1,14.5,34.3,30.4,33,56.9
1995,52.425,147.2,860.3,708.4,137.8,29,23.4,19.5,32.4,31.2,27.3,28.4,29.6
1996,18.25,32.2,32.8,33.5,25,18.3,14.3,15.4,17,37.1,22.1,29.1,29.7
1997,46.825,92.4,81.1,117.5,123.7,25.2,17,21.4,29.7,32.5,24.8,28.1,40.3
1998,126.7,57.5,84,498.6,411.7,27.5,28.6,39,18.5,34.7,34.1,47.9,64.8
1999,43.075,46.6,43.4,41.5,84,28,24.7,35.6,31,85.2,30,29,35.2
2000,25.775,42.6,39.3,92.9,43,21.7,19.3,19.1,23.4,21.1,49.6,42.6,34.7
2001,35.375,40.8,98.9,188.8,71.9,25,20.1,24.5,27.8,28.2,29.8,32.1,36.3
2002,24.85,36,31.3,32.7,33,25.6,19.7,21.1,19.1,37.8,25.9,40.8,40.4
2003,23.575,46.1,153.4,382.3,32.5,26.5,17.5,17.8,26.8,43.1,27.7,40.3,41.5
2004,28.45,36.9,58.4,175.9,38.3,26.4,20.3,28.8,46.9,25.6,54.3,205.7,467
2005,49.125,761.5,1044,270,91.9,45.6,31.6,27.4,60.2,39.7,31.4,31.1,34.7
2006,29.625,34.5,34.5,35.8,32.8,26.2,19,40.5,39.7,24,29.2,37.2,36.9
2007,26.575,36.4,39.6,36.6,31.2,25.1,20.4,29.6,47,44.5,30.4,35.7,268.8
2008,26.5,265.9,204.6,322.5,36.4,26.1,20.6,22.9,38.2,30.2,27.2,34.7,48.6
2009,26.025,136,171.1,86.6,33,25.9,23.9,21.3,18.4,27.7,28.4,31.6,40.9
2010,77.35,162.5,155.4,571,235.1,29.6,21.7,23,29.1,24.1,40.4,37.8,140.3
2011,27.95,61.7,95.4,146,41.5,29.7,21.5,19.1,25.4,34.6,33.6,37.4,45.6
2012,27.525,42,39.9,98.2,33.9,23.9,21.3,31,42.1,32.5,29.7,34.2,37.3
2013,24.825,207.6,71.8,144.1,31.9,25.4,18.5,23.5,50,99.3,30.5,38.7,39.6
2014,25.925,37.4,42.5,101.5,33.4,26.3,21.8,22.2,38.3,41.9,33.6,35,46.9
2015,30.55,119.7,115.2,406.2,31.5,31.8,26,32.9,26.7,24.7,41.6,66.9,50.7
2016,29,122.2,181.5,40.1,32.3,29.6,24.5,29.6,41,27.1,29.3,34.4,225.9
2017,31.925,278.4,414.3,179.8,35.5,25.3,20.7,46.2,48,34.6,28.7,31.9,36.2
2018,27.25,47.4,37.3,35.4,28.5,23.7,26.4,30.4,26.3,28,79.8,35.3,34.6
2019,25.575,121.5,685,440.2,32.1,26.8,23.5,19.9,21.2,25,29.3,55.6,219.5
2020,31.7,85.1,64,435.9,59.1,25.2,21.9,20.6,21.1,22.4,23.1,28,32
2021,999,999,999,999,999,999,999,999,999,999,999,999,999
2022,999,999,999,999,999,999,999,999,999,999,999,999,999
