,rrmse,nse,r2
1,0.18568260663083208,0.7516334302080097,0.7520007031823778
2,0.17066390875153928,0.7901861914078686,0.7904645547445214
3,0.1654064203820325,0.8029141625771956,0.8031760514929033
4,0.1563264290953017,0.823958319330909,0.8248459100104935
5,0.15710955572915222,0.8221901187021374,0.8232529520745222
6,0.15791675719288603,0.8203583127664442,0.8230029954905598
7,0.15712497664618852,0.8221552115192663,0.8246093598214232
8,0.15748034602596755,0.8213498390841085,0.8239520185876148
9,0.14883658513865042,0.8404230775140055,0.8426642456692831
10,0.14937670102032963,0.8392627926497147,0.8408001150106865
