,LinearRegression,PrincipalComponentRegression,SVR,RandomForestRegressor,ExtraTreesRegressor
SNOTEL_SWE_M_0,0,0,0,10,0
SNOTEL_SWE_A_0,0,0,0,6,0
SNOTEL_PA_M_0,0,0,5,0,7
SNOTEL_PA_A_0,0,0,9,5,9
SNOTEL_SWE_M_1,7,0,0,0,0
SNOTEL_SWE_A_1,1,1,1,0,0
SNOTEL_PA_M_1,0,0,10,0,0
SNOTEL_PA_A_1,9,0,0,0,0
SNOTEL_SWE_M_2,0,0,0,4,0
SNOTEL_SWE_A_2,8,8,3,0,6
SNOTEL_PA_M_2,0,0,8,7,10
SNOTEL_PA_A_2,0,3,7,1,2
SNOTEL_SWE_M_3,6,5,0,2,1
SNOTEL_SWE_A_3,2,2,4,3,5
SNOTEL_PA_M_3,0,0,0,0,0
SNOTEL_PA_A_3,0,10,2,0,0
SPFH_mean,4,4,0,0,0
TMP_mean,5,7,0,0,0
WIND_mean,10,0,6,8,0
SOI,0,9,0,0,0
PDO,0,0,0,0,8
NAO,0,0,0,9,3
AMO,3,6,0,0,4
